checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,customer_type
< 0 DM,60,Delay in Payment in past,Business,6836,<100,>=7,3,Male (Single),none,4,Unknown/ No property,63,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Bad
0 - 20 DM,18,Existing Credits Paid Back,Business,1913,>=1000,<1,3,Male (Married/Widowed),none,3,Real Estate,36,Bank,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,24,Existing Credits Paid Back,Furniture/Equipment,4020,<100,1 to 4,2,Male (Single),none,2,car or other,27,Stores,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,18,Existing Credits Paid Back,New Car,5866,100 - 500,1 to 4,2,Male (Single),none,2,car or other,30,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Business,1264,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Unknown/ No property,57,none,Rent,1,Unskilled Resident,1,None,Yes,Good
>= 200 DM,12,Existing Credits Paid Back,Furniture/Equipment,1474,<100,<1,4,Female (Div/Sep/Married),none,1,Society Saving/ Life Insurance,33,Bank,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,45,Critical Account/Other Credit Existing(Not this bank),Radio/TV,4746,<100,<1,4,Male (Single),none,2,Society Saving/ Life Insurance,25,none,Own,2,Unskilled Resident,1,None,Yes,Bad
No Checking Account,48,Critical Account/Other Credit Existing(Not this bank),Education,6110,<100,1 to 4,1,Male (Single),none,3,Unknown/ No property,31,Bank,For Free,1,SkilledEmployee/Official,1,Yes,Yes,Good
>= 200 DM,18,Existing Credits Paid Back,Radio/TV,2100,<100,1 to 4,4,Male (Single),co-applicant,2,Real Estate,37,Stores,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
>= 200 DM,10,Existing Credits Paid Back,Domestic Appliances,1225,<100,1 to 4,2,Male (Single),none,2,car or other,37,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,9,Existing Credits Paid Back,Radio/TV,458,<100,1 to 4,4,Male (Single),none,3,Real Estate,24,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,30,Existing Credits Paid Back,Radio/TV,2333,500 - 1000,>=7,4,Male (Single),none,2,car or other,30,Bank,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,None,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,Radio/TV,1158,500 - 1000,1 to 4,3,Male (Div/Sep/Married),none,1,car or other,26,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,18,Delay in Payment in past,Repairs,6204,<100,1 to 4,2,Male (Single),none,4,Real Estate,44,none,Own,1,Unskilled Resident,2,Yes,Yes,Good
< 0 DM,30,Critical Account/Other Credit Existing(Not this bank),Used Car,6187,100 - 500,4 to 7,1,Male (Married/Widowed),none,4,car or other,24,none,Rent,2,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,48,Critical Account/Other Credit Existing(Not this bank),Used Car,6143,<100,>=7,4,Female (Div/Sep/Married),none,4,Unknown/ No property,58,Stores,For Free,2,Unskilled Resident,1,None,Yes,Bad
No Checking Account,11,Critical Account/Other Credit Existing(Not this bank),New Car,1393,<100,<1,4,Female (Div/Sep/Married),none,4,car or other,35,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,None,Yes,Good
No Checking Account,36,Existing Credits Paid Back,Radio/TV,2299,500 - 1000,>=7,4,Male (Single),none,4,car or other,39,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,6,Existing Credits Paid Back,Used Car,1352,500 - 1000,unemployed,1,Female (Div/Sep/Married),none,2,Society Saving/ Life Insurance,23,none,Rent,1,UnEmp - NR,1,Yes,Yes,Good
No Checking Account,11,Critical Account/Other Credit Existing(Not this bank),New Car,7228,<100,1 to 4,1,Male (Single),none,4,Society Saving/ Life Insurance,39,none,Own,2,Unskilled Resident,1,None,Yes,Good
No Checking Account,12,Existing Credits Paid Back,Radio/TV,2073,100 - 500,1 to 4,4,Female (Div/Sep/Married),co-applicant,2,Real Estate,28,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,24,Delay in Payment in past,Furniture/Equipment,2333,Unknown/ No Saving Ac,<1,4,Male (Single),none,2,Society Saving/ Life Insurance,29,Bank,Own,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,27,Delay in Payment in past,Used Car,5965,<100,>=7,1,Male (Single),none,2,car or other,30,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
No Checking Account,12,Existing Credits Paid Back,Radio/TV,1262,<100,1 to 4,3,Male (Single),none,2,car or other,25,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,18,Existing Credits Paid Back,Used Car,3378,Unknown/ No Saving Ac,1 to 4,2,Male (Single),none,1,Society Saving/ Life Insurance,31,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,36,Delay in Payment in past,New Car,2225,<100,>=7,4,Male (Single),none,4,Unknown/ No property,57,Bank,For Free,2,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,6,All Credits Paid (this bank),New Car,783,Unknown/ No Saving Ac,1 to 4,1,Male (Single),guarantor,2,Real Estate,26,Stores,Own,1,Unskilled Resident,2,None,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,Radio/TV,6468,Unknown/ No Saving Ac,unemployed,2,Male (Single),none,1,Unknown/ No property,52,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
No Checking Account,36,Critical Account/Other Credit Existing(Not this bank),Radio/TV,9566,<100,1 to 4,2,Female (Div/Sep/Married),none,2,car or other,31,Stores,Own,2,SkilledEmployee/Official,1,None,Yes,Good
>= 200 DM,18,Existing Credits Paid Back,New Car,1961,<100,>=7,3,Female (Div/Sep/Married),none,2,car or other,23,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,None,Yes,Good
< 0 DM,36,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,6229,<100,<1,4,Female (Div/Sep/Married),co-applicant,4,Unknown/ No property,23,none,Rent,2,Unskilled Resident,1,Yes,Yes,Bad
0 - 20 DM,9,Existing Credits Paid Back,Business,1391,<100,1 to 4,2,Male (Married/Widowed),none,1,Real Estate,27,Bank,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,15,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1537,Unknown/ No Saving Ac,>=7,4,Male (Single),guarantor,4,Real Estate,50,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,36,No Credits taken/ All Credits Paid,Business,1953,<100,>=7,4,Male (Single),none,4,Unknown/ No property,61,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
0 - 20 DM,48,No Credits taken/ All Credits Paid,Business,14421,<100,1 to 4,2,Male (Single),none,2,car or other,25,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,24,Existing Credits Paid Back,Radio/TV,3181,<100,<1,4,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,26,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,27,Existing Credits Paid Back,Repairs,5190,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Society Saving/ Life Insurance,48,none,Own,4,SkilledEmployee/Official,2,Yes,Yes,Good
No Checking Account,12,Existing Credits Paid Back,Radio/TV,2171,<100,<1,2,Female (Div/Sep/Married),none,2,car or other,29,Bank,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,New Car,1007,>=1000,1 to 4,4,Male (Married/Widowed),none,1,Real Estate,22,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,36,Existing Credits Paid Back,Education,1819,<100,1 to 4,4,Male (Single),none,4,Unknown/ No property,37,Stores,For Free,1,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,36,Existing Credits Paid Back,Radio/TV,2394,Unknown/ No Saving Ac,1 to 4,4,Female (Div/Sep/Married),none,4,car or other,25,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,36,Existing Credits Paid Back,Used Car,8133,<100,1 to 4,1,Female (Div/Sep/Married),none,2,Society Saving/ Life Insurance,30,Bank,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,7,Critical Account/Other Credit Existing(Not this bank),Radio/TV,730,Unknown/ No Saving Ac,>=7,4,Male (Single),none,2,Society Saving/ Life Insurance,46,none,Rent,2,Unskilled Resident,1,Yes,Yes,Good
< 0 DM,8,Critical Account/Other Credit Existing(Not this bank),others,1164,<100,>=7,3,Male (Single),none,4,Unknown/ No property,51,Bank,For Free,2,Mgmt/Self-Emp/Qual-Emp/Officer,2,Yes,Yes,Good
0 - 20 DM,42,Critical Account/Other Credit Existing(Not this bank),Business,5954,<100,4 to 7,2,Female (Div/Sep/Married),none,1,Real Estate,41,Bank,Own,2,Unskilled Resident,1,None,Yes,Good
< 0 DM,36,Existing Credits Paid Back,Education,1977,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Unknown/ No property,40,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
< 0 DM,12,Critical Account/Other Credit Existing(Not this bank),Used Car,1526,<100,>=7,4,Male (Single),none,4,Unknown/ No property,66,none,For Free,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,None,Yes,Good
< 0 DM,42,Existing Credits Paid Back,Radio/TV,3965,<100,<1,4,Male (Single),none,3,car or other,34,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,11,Delay in Payment in past,Radio/TV,4771,<100,4 to 7,2,Male (Single),none,4,Society Saving/ Life Insurance,51,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,54,No Credits taken/ All Credits Paid,Used Car,9436,Unknown/ No Saving Ac,1 to 4,2,Male (Single),none,2,Society Saving/ Life Insurance,39,none,Own,1,Unskilled Resident,2,None,Yes,Good
0 - 20 DM,30,Existing Credits Paid Back,Furniture/Equipment,3832,<100,<1,2,Male (Married/Widowed),none,1,Society Saving/ Life Insurance,22,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Radio/TV,5943,Unknown/ No Saving Ac,<1,1,Female (Div/Sep/Married),none,1,car or other,44,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,15,Existing Credits Paid Back,Radio/TV,1213,500 - 1000,>=7,4,Male (Single),none,3,Society Saving/ Life Insurance,47,Stores,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,18,Existing Credits Paid Back,Business,1568,100 - 500,1 to 4,3,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,24,none,Rent,1,Unskilled Resident,1,None,Yes,Good
< 0 DM,24,Existing Credits Paid Back,others,1755,<100,>=7,4,Female (Div/Sep/Married),guarantor,4,Real Estate,58,none,Own,1,Unskilled Resident,1,Yes,Yes,Good
< 0 DM,10,Existing Credits Paid Back,Radio/TV,2315,<100,>=7,3,Male (Single),none,4,Real Estate,52,none,Own,1,Unskilled Resident,1,None,Yes,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Business,1412,<100,1 to 4,4,Female (Div/Sep/Married),guarantor,2,Real Estate,29,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,18,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,1295,<100,<1,4,Female (Div/Sep/Married),none,1,Society Saving/ Life Insurance,27,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,36,Existing Credits Paid Back,Education,12612,100 - 500,1 to 4,1,Male (Single),none,4,Unknown/ No property,47,none,For Free,1,SkilledEmployee/Official,2,Yes,Yes,Bad
< 0 DM,18,Existing Credits Paid Back,New Car,2249,100 - 500,4 to 7,4,Male (Single),none,3,car or other,30,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,2,Yes,Yes,Good
< 0 DM,12,No Credits taken/ All Credits Paid,Repairs,1108,<100,4 to 7,4,Male (Single),none,3,Real Estate,28,none,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Radio/TV,618,<100,>=7,4,Male (Single),none,4,Real Estate,56,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,12,Critical Account/Other Credit Existing(Not this bank),Used Car,1409,<100,>=7,4,Male (Single),none,3,Real Estate,54,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Radio/TV,797,Unknown/ No Saving Ac,>=7,4,Female (Div/Sep/Married),none,3,Society Saving/ Life Insurance,33,Bank,Own,1,Unskilled Resident,2,None,Yes,Bad
>= 200 DM,24,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,3617,Unknown/ No Saving Ac,>=7,4,Male (Single),co-applicant,4,Unknown/ No property,20,none,Rent,2,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,New Car,1318,>=1000,>=7,4,Male (Single),none,4,Real Estate,54,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,54,No Credits taken/ All Credits Paid,Business,15945,<100,<1,3,Male (Single),none,4,Unknown/ No property,58,none,Rent,1,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Education,2012,Unknown/ No Saving Ac,4 to 7,4,Female (Div/Sep/Married),none,2,car or other,61,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,18,Existing Credits Paid Back,Business,2622,100 - 500,1 to 4,4,Male (Single),none,4,car or other,34,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,36,Critical Account/Other Credit Existing(Not this bank),Radio/TV,2337,<100,>=7,4,Male (Single),none,4,Real Estate,36,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,20,Delay in Payment in past,Used Car,7057,Unknown/ No Saving Ac,4 to 7,3,Male (Single),none,4,Society Saving/ Life Insurance,36,Bank,Rent,2,Mgmt/Self-Emp/Qual-Emp/Officer,2,Yes,Yes,Good
No Checking Account,24,Existing Credits Paid Back,New Car,1469,100 - 500,>=7,4,Male (Married/Widowed),none,4,Real Estate,41,none,Rent,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,36,Existing Credits Paid Back,Radio/TV,2323,<100,4 to 7,4,Male (Single),none,4,car or other,24,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,6,Delay in Payment in past,Radio/TV,932,<100,1 to 4,3,Female (Div/Sep/Married),none,2,Real Estate,24,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,9,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,1919,<100,4 to 7,4,Male (Single),none,3,car or other,35,none,Rent,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,12,Existing Credits Paid Back,Used Car,2445,Unknown/ No Saving Ac,<1,2,Male (Married/Widowed),none,4,car or other,26,none,Rent,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,24,Critical Account/Other Credit Existing(Not this bank),others,11938,<100,1 to 4,2,Male (Single),co-applicant,3,car or other,39,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,2,Yes,Yes,Bad
No Checking Account,18,All Credits Paid (this bank),New Car,6458,<100,>=7,2,Male (Single),none,4,Unknown/ No property,39,Bank,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,2,Yes,Yes,Bad
0 - 20 DM,12,Existing Credits Paid Back,New Car,6078,<100,4 to 7,2,Male (Single),none,2,car or other,32,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,24,Existing Credits Paid Back,Furniture/Equipment,7721,Unknown/ No Saving Ac,<1,1,Female (Div/Sep/Married),none,2,Society Saving/ Life Insurance,30,none,Own,1,SkilledEmployee/Official,1,Yes,No,Good
0 - 20 DM,14,Existing Credits Paid Back,Business,1410,500 - 1000,>=7,1,Male (Married/Widowed),none,2,Real Estate,35,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,6,Delay in Payment in past,Business,1449,100 - 500,>=7,1,Male (Div/Sep/Married),none,2,car or other,31,Bank,Own,2,SkilledEmployee/Official,2,None,Yes,Good
>= 200 DM,15,Existing Credits Paid Back,Education,392,<100,<1,4,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,23,none,Rent,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,18,Existing Credits Paid Back,New Car,6260,<100,4 to 7,3,Male (Single),none,3,Real Estate,28,none,Rent,1,Unskilled Resident,1,None,Yes,Good
No Checking Account,36,Critical Account/Other Credit Existing(Not this bank),New Car,7855,<100,1 to 4,4,Female (Div/Sep/Married),none,2,Real Estate,25,Stores,Own,2,SkilledEmployee/Official,1,Yes,Yes,Bad
< 0 DM,12,Existing Credits Paid Back,Radio/TV,1680,500 - 1000,>=7,3,Male (Married/Widowed),none,1,Real Estate,35,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,48,Critical Account/Other Credit Existing(Not this bank),Radio/TV,3578,Unknown/ No Saving Ac,>=7,4,Male (Single),none,1,Real Estate,47,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,42,Existing Credits Paid Back,Radio/TV,7174,Unknown/ No Saving Ac,4 to 7,4,Female (Div/Sep/Married),none,3,car or other,30,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
< 0 DM,10,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,2132,Unknown/ No Saving Ac,<1,2,Female (Div/Sep/Married),co-applicant,3,Real Estate,27,none,Rent,2,SkilledEmployee/Official,1,None,No,Good
< 0 DM,33,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,4281,500 - 1000,1 to 4,1,Female (Div/Sep/Married),none,4,car or other,23,none,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,12,Critical Account/Other Credit Existing(Not this bank),New Car,2366,500 - 1000,4 to 7,3,Male (Div/Sep/Married),none,3,car or other,36,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
< 0 DM,21,Existing Credits Paid Back,Radio/TV,1835,<100,1 to 4,3,Female (Div/Sep/Married),none,2,Real Estate,25,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Used Car,3868,<100,>=7,4,Female (Div/Sep/Married),none,2,car or other,41,none,Rent,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
No Checking Account,12,Existing Credits Paid Back,Furniture/Equipment,1768,<100,1 to 4,3,Male (Single),none,2,Real Estate,24,none,Rent,1,Unskilled Resident,1,None,Yes,Good
>= 200 DM,10,Critical Account/Other Credit Existing(Not this bank),New Car,781,<100,>=7,4,Male (Single),none,4,Unknown/ No property,63,none,For Free,2,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,18,Existing Credits Paid Back,Furniture/Equipment,1924,Unknown/ No Saving Ac,<1,4,Female (Div/Sep/Married),none,3,Real Estate,27,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,12,Critical Account/Other Credit Existing(Not this bank),New Car,2121,<100,1 to 4,4,Male (Single),none,2,Society Saving/ Life Insurance,30,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,12,Existing Credits Paid Back,Radio/TV,701,<100,1 to 4,4,Male (Married/Widowed),none,2,Real Estate,40,none,Own,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,Repairs,639,<100,1 to 4,4,Male (Single),none,2,car or other,30,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,12,Critical Account/Other Credit Existing(Not this bank),Used Car,1860,<100,unemployed,4,Male (Single),none,2,car or other,34,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
< 0 DM,12,Critical Account/Other Credit Existing(Not this bank),New Car,3499,<100,1 to 4,3,Female (Div/Sep/Married),co-applicant,2,Real Estate,29,none,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,48,Existing Credits Paid Back,New Car,8487,Unknown/ No Saving Ac,4 to 7,1,Female (Div/Sep/Married),none,2,car or other,24,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,36,Delay in Payment in past,Education,6887,<100,1 to 4,4,Male (Single),none,3,Society Saving/ Life Insurance,29,Stores,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,15,Existing Credits Paid Back,Furniture/Equipment,2708,<100,<1,2,Male (Single),none,3,Society Saving/ Life Insurance,27,Bank,Own,2,Unskilled Resident,1,None,Yes,Good
No Checking Account,18,Existing Credits Paid Back,Furniture/Equipment,1984,<100,1 to 4,4,Male (Single),none,4,Unknown/ No property,47,Bank,For Free,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,60,Existing Credits Paid Back,Radio/TV,10144,100 - 500,4 to 7,2,Female (Div/Sep/Married),none,4,Real Estate,21,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
